sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,small_image,thumbnail_image,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,configurable_variations,configurable_variation_labels,associated_skus
ASP-B9,,Default,simple,Default Category/Shop Cabinets/Kitchen Cabinets/Aspen White/Base Cabinets,,"Aspen White- 9"" Base Cabinet-9""Wx24""Dx34 1/2""H","Aspen White- 9"" Base Cabinet it measures 9""WX24""DX34.5""H",30,1,0,"Catalog, Search",358.51,154.1593,,,"aspen-white-9""-base-cabinet-9""wx24""dx34-1/2""h-asp-b9""",,,,,,,,,,,,,,,,,,,,,,"free_sample=""No"",is_assemble=""1"",warehouse_zipcode=""31513"",kitchen_cabinet_sort_order=""5""",999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASP-B12,,Default,simple,Default Category/Shop Cabinets/Kitchen Cabinets/Aspen White/Base Cabinets,,"Aspen White- 12"" Base Cabinet-12""WX24""dX34 1/2""H","Aspen White- 12"" Base Cabinet it measures12""WX24""DX34.5""H",32,1,0,"Catalog, Search",387.95,166.8185,,,"aspen-white-12""-base-cabinet-12""wx24""dx34-1/2""h-asp-b12""",,,,,,,,,,,,,,,,,,,,,,"free_sample=""No"",is_assemble=""1"",warehouse_zipcode=""31513"",kitchen_cabinet_sort_order=""10""",999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASP-B15,,Default,simple,Default Category/Shop Cabinets/Kitchen Cabinets/Aspen White/Base Cabinets,,"Aspen White- 15"" Base Cabinet-16""WX24""DX34 1/2""H","Aspen White- 15"" Base Cabinet it measures 15""WX24""DX34.5""H",34,1,0,"Catalog, Search",413.87,177.9641,,,"aspen-white-15""-base-cabinet-16""wx24""dx34-1/2""h-asp-b15""",,,,,,,,,,,,,,,,,,,,,,"free_sample=""No"",is_assemble=""1"",warehouse_zipcode=""31513"",kitchen_cabinet_sort_order=""15""",999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASP-B18,,Default,simple,Default Category/Shop Cabinets/Kitchen Cabinets/Aspen White/Base Cabinets,,"Aspen White- 18"" Base Cabinet-18""WX24""DX34 1/2""H","Aspen White- 18"" Base Cabinet it measures 18""WX24""DX34.5""H",36,1,0,"Catalog, Search",428.95,184.4485,,,"aspen-white-18""-base-cabinet-18""wx24""dx34-1/2""h-asp-b18""",,,,,,,,,,,,,,,,,,,,,,"free_sample=""No"",is_assemble=""1"",warehouse_zipcode=""31513"",kitchen_cabinet_sort_order=""20""",999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASP-B21,,Default,simple,Default Category/Shop Cabinets/Kitchen Cabinets/Aspen White/Base Cabinets,,"Aspen White- 21"" Base Cabinet-21""WX24""DX34 1/2""H","Aspen White- 21"" Base Cabinet it measures 21""WX24""DX34.5""H",38,1,0,"Catalog, Search",475.73,204.5639,,,"aspen-white-21""-base-cabinet-21""wx24""dx34-1/2""h-asp-b21""",,,,,,,,,,,,,,,,,,,,,,"free_sample=""No"",is_assemble=""1"",warehouse_zipcode=""31513"",kitchen_cabinet_sort_order=""25""",999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASP-B24,,Default,simple,Default Category/Shop Cabinets/Kitchen Cabinets/Aspen White/Base Cabinets,,"Aspen White- 24"" Base Cabinet-24""WX24""DX34 1/2""H","Aspen White- 24"" Base Cabinet it measures 24""WX24""DX34.5""H",40,1,0,"Catalog, Search",522.14,224.5202,,,"aspen-white-24""-base-cabinet-24""wx24""dx34-1/2""h-asp-b24""",,,,,,,,,,,,,,,,,,,,,,"free_sample=""No"",is_assemble=""1"",warehouse_zipcode=""31513"",kitchen_cabinet_sort_order=""30""",999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASP-B27,,Default,simple,Default Category/Shop Cabinets/Kitchen Cabinets/Aspen White/Base Cabinets,,"Aspen White- 27"" Base Cabinet-27""WX24""DX34 1/2""H","Aspen White- 27"" Base Cabinet it measures 27""WX24""DX34.5""H",42,1,0,"Catalog, Search",568.51,244.4593,,,"aspen-white-27""-base-cabinet-27""wx24""dx34-1/2""h-asp-b27""",,,,,,,,,,,,,,,,,,,,,,"free_sample=""No"",is_assemble=""1"",warehouse_zipcode=""31513"",kitchen_cabinet_sort_order=""35""",999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASP-B30,,Default,simple,Default Category/Shop Cabinets/Kitchen Cabinets/Aspen White/Base Cabinets,,"Aspen White- 30"" Base Cabinet-30""WX24""DX34 1/2""H","Aspen White- 30"" Base Cabinet it measures 30""WX24""DX34.5""H",44,1,0,"Catalog, Search",645.41,277.5263,,,"aspen-white-30""-base-cabinet-30""wx24""dx34-1/2""h-asp-b30""",,,,,,,,,,,,,,,,,,,,,,"free_sample=""No"",is_assemble=""1"",warehouse_zipcode=""31513"",kitchen_cabinet_sort_order=""40""",999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASP-B33,,Default,simple,Default Category/Shop Cabinets/Kitchen Cabinets/Aspen White/Base Cabinets,,"Aspen White- 33"" Base Cabinet-33""WX24""DX 341/2""H","Aspen White- 33"" Base Cabinet it measures 33""WX24""DX34.5""H",46,1,0,"Catalog, Search",673.47,289.5921,,,"aspen-white-33""-base-cabinet-33""wx24""dx-341/2""h-asp-b33""",,,,,,,,,,,,,,,,,,,,,,"free_sample=""No"",is_assemble=""1"",warehouse_zipcode=""31513"",kitchen_cabinet_sort_order=""45""",999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASP-B36,,Default,simple,Default Category/Shop Cabinets/Kitchen Cabinets/Aspen White/Base Cabinets,,"Aspen White- 36"" Base Cabinet-36""WX24'DX 34 1/2""H","Aspen White- 36"" Base Cabinet it measures 36""WX34""DX34.5""H",48,1,0,"Catalog, Search",706.4,303.752,,,"aspen-white-36""-base-cabinet-36""wx24'dx-34-1/2""h-asp-b36""",,,,,,,,,,,,,,,,,,,,,,"free_sample=""No"",is_assemble=""1"",warehouse_zipcode=""31513"",kitchen_cabinet_sort_order=""50""",999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
